Technology,ReferenceCase_0.7,ReferenceCase_0.8,ReferenceCase_0.9,ReferenceCase_0.95,ReferenceCase_0.99,NetZero_0.7,NetZero_0.8,NetZero_0.9,NetZero_0.95,NetZero_0.99
Wind Offshore,24124.521847031665,53005.1139250389,70682.75145084935,70704.6378504171,71662.3408907368,23315.92312199605,92282.18668839117,114099.75724417344,114246.87179424902,118490.5232567243
Wind Onshore,152071.25650599683,166838.86666227423,164905.0648784158,162401.9392333018,160467.02017713545,234587.6156593764,242991.74126148768,234817.48505401745,231333.05523349458,224576.67232728755
Biomass,60882.37427917346,52050.324888411735,47968.89242508284,48559.316744351294,49297.2110704548,61001.39759588205,49703.20294387792,47018.73276872327,47554.816448050835,48337.9884410472
Lignite,5773.581200130814,3585.8183356751024,2372.9821939318517,2387.38433479513,2450.1103514888327,2795.6371699138112,2660.106541488126,8869.54350693639,9339.714681042205,9478.244417968568
Hard Coal,1709.8785876738448,890.0847933701906,475.34904246710073,464.19934050053706,475.17496655441465,1038.2456479579582,852.5837592548583,4154.149696313032,4423.7043692268,4482.540715575339
Gas,143682.4678507063,110520.28176952232,94219.18031065672,95103.14333092429,96703.00239560725,240129.19260392984,159596.42461029353,132047.77711366967,132179.60918333344,135350.4574627324
Hydrogen,0.0,0.0,19.95931070236672,16.97667699284581,18.583865879756356,0.0,0.0,2266.749894601238,2756.342545500141,2778.041440637896
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV,98685.29210618528,105332.29453850488,113895.3749287386,114464.18879427802,112544.90448865652,145105.7898931359,166498.73795283487,172901.34920924625,174239.00362564472,172042.077384973
Hydro ,39678.73036696109,34921.99411278473,32837.003082490985,33234.33035409093,33680.1333963563,38745.508070494005,32471.67825304863,31042.426020490275,31359.89164843934,31859.467039549494
Other RES,3131.8416334688536,2734.022389202519,2583.3253697096256,2620.6793445109215,2658.447214750251,3065.8951806429936,2575.585683631941,2457.6260306589215,2480.3233785778425,2521.436332253087
Other Conventional,248.60662267163528,104.91719791790318,0.0,0.0,0.0,199.45233225682625,306.26884948758357,242.7924471495259,0.0,0.0
